num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status
529,512,262,432,92,3,1,1,0,1
150,0,0,150,0,0,0,0,0,2
227,236,57,204,21,1,1,0,0,3
111,0,0,111,0,0,0,0,0,4
213,0,0,204,9,0,0,0,0,5
217,6,0,211,5,1,0,0,0,6
503,614,72,418,70,10,2,0,3,7
295,453,53,260,32,1,1,0,1,8
203,1,0,198,5,0,0,0,0,9
170,9,1,167,3,0,0,0,0,10
210,2,3,202,7,1,0,0,0,11
222,4,0,213,5,4,0,0,0,12
313,4,2,305,6,2,0,0,0,13
209,4,0,200,8,1,0,0,0,14
346,11,0,335,10,1,0,0,0,15
332,100,30,303,23,1,5,0,0,16
135,256,79,117,18,0,0,0,0,17
150,173,47,132,16,1,0,1,0,18
221,166,36,192,28,0,1,0,0,19
152,2,0,149,3,0,0,0,0,20
234,15,1,221,12,1,0,0,0,21
227,7,1,217,7,2,1,0,0,22
98,0,0,96,0,2,0,0,0,23
18,0,0,18,0,0,0,0,0,24
102,0,0,100,0,2,0,0,0,25
37,0,1,37,0,0,0,0,0,26
75,36,14,70,5,0,0,0,0,27
90,78,9,85,5,0,0,0,0,28
145,9,0,138,7,0,0,0,0,29
253,300,31,229,22,1,1,0,0,30
85,0,0,81,2,2,0,0,0,31
45,14,0,40,5,0,0,0,0,32
92,0,0,85,4,2,1,0,0,33
125,1,0,116,8,1,0,0,0,34
119,4,0,116,3,0,0,0,0,35
293,8,0,281,11,1,0,0,0,36
128,137,26,110,16,2,0,0,0,37
84,15,13,78,5,1,0,0,0,38
66,11,6,61,4,1,0,0,0,39
171,292,28,150,19,1,1,0,0,40
90,72,23,79,10,1,0,0,0,41
139,39,9,121,16,1,1,0,0,42
236,181,21,201,33,0,1,0,1,43
225,210,34,193,30,0,2,0,0,44
275,12,0,260,11,4,0,0,0,45
372,456,37,334,31,1,1,1,4,46
445,9,0,419,23,3,0,0,0,47
128,60,11,114,13,0,0,0,1,48
186,235,46,163,19,0,3,0,1,49
309,444,36,254,42,2,8,3,0,50
77,11,3,75,2,0,0,0,0,51
119,72,28,103,16,0,0,0,0,52
100,21,13,95,5,0,0,0,0,53
240,255,111,193,44,1,1,0,1,54
164,136,48,146,15,2,0,1,0,55
202,327,42,171,30,1,0,0,0,56
211,284,46,186,25,0,0,0,0,57
148,114,16,136,10,0,2,0,0,58
97,81,16,84,13,0,0,0,0,59
279,292,34,254,20,3,1,1,0,60
263,8,0,245,14,4,0,0,0,61
177,193,34,151,25,1,0,0,0,62
517,32,1,484,26,7,0,0,0,63
289,258,33,256,33,0,0,0,0,64
66,13,0,65,1,0,0,0,0,65
112,6,0,104,8,0,0,0,0,66
206,259,48,181,22,1,2,0,0,67
362,468,86,305,56,0,0,1,0,68
184,130,51,161,23,0,0,0,0,69
216,251,34,199,16,0,0,0,1,70
57,0,0,56,1,0,0,0,0,71
272,258,43,226,44,1,1,0,0,72
248,247,34,208,33,3,2,0,2,73
132,89,40,110,20,1,0,0,1,74
226,341,41,196,30,0,0,0,0,75
35,1,0,35,0,0,0,0,0,76
219,316,36,170,46,3,0,0,0,77
94,1,1,94,0,0,0,0,0,78
259,368,50,234,25,0,0,0,0,79
62,1,0,62,0,0,0,0,0,80
127,76,21,114,13,0,0,0,0,81
149,63,15,134,15,0,0,0,0,82
134,171,41,116,18,0,0,0,0,83
392,461,47,360,32,0,0,0,0,84
310,540,41,284,26,0,0,0,0,85
14,3,0,12,2,0,0,0,0,86
293,6,1,275,15,3,0,0,0,87
236,12,0,226,8,1,1,0,0,88
312,10,0,291,18,3,0,0,0,89
24,12,0,24,0,0,0,0,0,90
16,9,0,15,1,0,0,0,0,91
33,12,0,32,1,0,0,0,0,92
675,10,0,645,29,1,0,0,0,93
737,18,0,697,31,9,0,0,0,94
572,16,0,554,16,2,0,0,0,95
23,7,0,20,3,0,0,0,0,96
266,25,0,250,11,5,0,0,0,97
378,512,30,348,27,2,0,0,1,98
421,709,30,373,45,2,0,1,0,99
1493,1979,753,1333,139,9,3,8,1,100
76,17,0,76,0,0,0,0,0,101
36,11,0,34,2,0,0,0,0,102
19,8,0,18,0,0,1,0,0,103
27,10,0,27,0,0,0,0,0,104
117,2,53,108,9,0,0,0,0,105
146,1,0,145,1,0,0,0,0,106
166,0,13,151,7,0,0,8,0,107
190,0,31,171,0,0,0,19,0,108
217,16,0,213,4,0,0,0,0,109
458,14,0,451,3,4,0,0,0,110
553,15,0,538,12,3,0,0,0,111
203,18,11,190,7,6,0,0,0,112
1005,25,1,979,16,9,1,0,0,113
202,145,23,182,19,0,0,0,1,114
428,14,0,419,4,5,0,0,0,115
479,17,0,462,10,7,0,0,0,116
212,116,11,201,10,1,0,0,0,117
225,157,17,211,14,0,0,0,0,118
171,46,5,156,12,2,1,0,0,119
247,120,16,232,14,1,0,0,0,120
269,453,39,242,26,1,0,0,0,121
258,486,32,235,23,0,0,0,0,122
109,2,1,104,5,0,0,0,0,123
97,5,0,96,0,1,0,0,0,124
280,199,25,254,24,2,0,0,0,125
325,77,21,293,30,1,1,0,0,126
51,11,0,51,0,0,0,0,0,127
280,825,47,243,35,1,1,0,0,128
688,0,0,632,34,0,0,22,0,129
365,805,46,320,39,1,3,0,2,130
295,5,0,295,0,0,0,0,0,131
27,14,0,26,1,0,0,0,0,132
15,11,0,15,0,0,0,0,0,133
16,12,0,16,0,0,0,0,0,134
29,12,0,29,0,0,0,0,0,135
28,6,0,28,0,0,0,0,0,136
8,8,0,8,0,0,0,0,0,137
10,9,0,10,0,0,0,0,0,138
39,8,0,39,0,0,0,0,0,139
49,11,0,47,2,0,0,0,0,140
226,449,37,189,25,1,1,10,0,141
104,49,13,91,12,0,0,1,0,142
251,17,0,244,7,0,0,0,0,143
244,589,48,213,29,1,1,0,0,144
252,558,41,204,45,1,1,0,1,145
121,15,4,114,4,2,1,0,0,146
321,5,0,307,11,2,1,0,0,147
103,8,3,99,4,0,0,0,0,148
136,31,16,122,14,0,0,0,0,149
337,247,27,300,35,1,1,0,0,150
648,13,0,627,18,3,0,0,0,151
175,157,14,157,18,0,0,0,0,152
339,424,36,296,38,1,4,0,0,153
341,3,0,331,8,2,0,0,0,154
177,131,27,150,27,0,0,0,0,155
201,0,0,195,4,2,0,0,0,156
43,7,0,41,2,0,0,0,0,157
40,7,0,39,1,0,0,0,0,158
58,14,0,57,1,0,0,0,0,159
403,525,42,363,36,1,3,0,0,160
148,4,3,144,4,0,0,0,0,161
150,24,2,144,6,0,0,0,0,162
53,12,0,53,0,0,0,0,0,163
144,15,8,140,4,0,0,0,0,164
298,491,46,262,34,2,0,0,0,165
171,4,1,166,5,0,0,0,0,166
4410,633,257,4315,73,17,5,0,0,167
374,588,46,327,47,0,0,0,0,168
181,20,0,180,1,0,0,0,0,169
267,20,1,249,8,10,0,0,0,170
60,7,0,59,1,0,0,0,0,171
98,23,5,95,2,1,0,0,0,172
26,7,0,26,0,0,0,0,0,173
255,18,0,244,11,0,0,0,0,174
174,6,1,167,5,2,0,0,0,175
64,5,1,59,5,0,0,0,0,176
62,3,0,58,4,0,0,0,0,177
192,417,40,168,22,1,1,0,0,178
110,18,6,110,0,0,0,0,0,179
119,12,7,117,2,0,0,0,0,180
42,11,0,41,0,1,0,0,0,181
234,355,34,178,52,2,0,1,1,182
54,10,0,53,1,0,0,0,0,183
82,8,0,80,1,0,0,1,0,184
18,8,0,18,0,0,0,0,0,185
147,17,7,141,5,1,0,0,0,186
80,8,0,79,1,0,0,0,0,187
299,564,42,262,34,1,1,0,1,188
629,11,1,607,18,4,0,0,0,189
69,2,0,67,2,0,0,0,0,190
219,110,17,190,26,1,2,0,0,191
30,2,0,27,3,0,0,0,0,192
65,1,0,62,2,1,0,0,0,193
161,7,0,153,8,0,0,0,0,194
398,605,30,348,44,3,3,0,0,195
47,7,0,47,0,0,0,0,0,196
182,3,4,177,5,0,0,0,0,197
317,158,32,269,47,1,0,0,0,198
571,888,107,459,107,1,1,1,2,199
16,10,0,15,1,0,0,0,0,200
30,9,0,30,0,0,0,0,0,201
57,7,0,57,0,0,0,0,0,202
74,6,3,74,0,0,0,0,0,203
368,911,50,317,50,1,0,0,0,204
19,3,0,19,0,0,0,0,0,205
176,3,0,175,0,1,0,0,0,206
133,7,0,133,0,0,0,0,0,207
162,6,2,158,3,1,0,0,0,208
734,996,73,601,116,11,6,0,0,209
42,16,9,41,1,0,0,0,0,210
33,6,3,31,2,0,0,0,0,211
29,6,1,29,0,0,0,0,0,212
43,6,0,42,1,0,0,0,0,213
14,6,0,13,1,0,0,0,0,214
475,574,48,406,63,4,2,0,0,215
50,8,2,49,1,0,0,0,0,216
94,23,6,94,0,0,0,0,0,217
303,34,3,291,11,1,0,0,0,218
168,7,1,167,1,0,0,0,0,219
248,14,0,241,7,0,0,0,0,220
422,6,0,410,8,3,1,0,0,221
189,3,0,184,2,0,3,0,0,222
390,17,2,382,5,3,0,0,0,223
618,28,0,597,14,7,0,0,0,224
191,2,2,188,2,1,0,0,0,225
321,1381,67,275,44,1,1,0,0,226
364,7,2,347,15,2,0,0,0,227
51,10,0,51,0,0,0,0,0,228
282,524,38,247,34,0,1,0,0,229
369,14,1,362,7,0,0,0,0,230
138,16,6,133,4,1,0,0,0,231
96,9,1,93,1,2,0,0,0,232
186,11,0,184,1,1,0,0,0,233
487,15,0,461,14,12,0,0,0,234
282,19,4,257,20,3,2,0,0,235
383,8,1,367,13,3,0,0,0,236
216,0,1,211,5,0,0,0,0,237
48,0,0,45,2,1,0,0,0,238
885,462,26,659,220,0,2,0,0,239
185,11,1,175,10,0,0,0,0,240
259,1,1,251,7,0,1,0,0,241
299,9,0,291,8,0,0,0,0,242
199,9,1,186,13,0,0,0,0,243
717,40,1,680,30,7,0,0,0,244
155,2,0,150,5,0,0,0,0,245
293,8,0,282,11,0,0,0,0,246
243,6,0,237,5,1,0,0,0,247
264,2,0,256,2,5,0,0,0,248
313,3,0,297,7,6,0,0,0,249
208,1,0,201,7,0,0,0,0,250
216,0,0,209,6,1,0,0,0,251
247,6,0,234,9,1,0,0,0,252
152,1,0,146,5,1,0,0,0,253
387,3,0,368,16,1,0,0,0,254
178,9,0,170,6,0,0,0,0,255
218,4,0,212,5,1,0,0,0,256
270,3,0,256,10,3,0,0,0,257
351,4,1,344,6,0,0,0,0,258
232,0,2,224,8,0,0,0,0,259
252,3,0,244,4,4,0,0,0,260
122,0,0,114,8,0,0,0,0,261
209,4,0,199,9,1,0,0,0,262
305,5,1,295,10,0,0,0,0,263
71,10,2,70,1,0,0,0,0,264
290,12,0,275,13,1,1,0,0,265
67,6,3,66,0,1,0,0,0,266
783,11,0,752,30,1,0,0,0,267
77,2,0,76,1,0,0,0,0,268
22,0,0,22,0,0,0,0,0,269
103,0,0,100,2,1,0,0,0,270
32,0,2,32,0,0,0,0,0,271
239,5,2,229,8,0,0,2,0,272
111,6,0,110,1,0,0,0,0,273
51,0,1,51,0,0,0,0,0,274
34,4,0,34,0,0,0,0,0,275
15,0,0,15,0,0,0,0,0,276
75,0,5,75,0,0,0,0,0,277
177,2,0,173,2,2,0,0,0,278
520,8,0,505,13,2,0,0,0,279
134,2,0,132,2,0,0,0,0,280
228,1,1,220,7,1,0,0,0,281
498,254,17,408,77,5,6,1,1,282
166,5,2,159,7,0,0,0,0,283
272,265,20,228,44,0,0,0,0,284
127,7,1,125,2,0,0,0,0,285
30,0,0,29,0,1,0,0,0,286
33,1,1,33,0,0,0,0,0,287
252,5,0,239,9,4,0,0,0,288
287,0,0,286,0,1,0,0,0,289
264,8,3,257,5,2,0,0,0,290
152,5,1,148,3,1,0,0,0,291
61,5,0,57,3,1,0,0,0,292
172,7,7,163,6,2,1,0,0,293
616,523,21,459,125,21,8,0,1,294
188,0,0,184,4,0,0,0,0,295
593,309,23,484,99,1,4,4,1,296
189,2,0,182,5,2,0,0,0,297
178,5,0,175,3,0,0,0,0,298
318,7,0,313,4,1,0,0,0,299
362,9,0,352,7,3,0,0,0,300
48,6,0,48,0,0,0,0,0,301
248,1,0,244,3,1,0,0,0,302
520,2,0,509,11,0,0,0,0,303
97,8,2,94,3,0,0,0,0,304
400,16,0,392,6,2,0,0,0,305
218,0,0,212,6,0,0,0,0,306
77,13,4,77,0,0,0,0,0,307
204,4,0,198,3,3,0,0,0,308
405,6,0,399,6,0,0,0,0,309
210,0,0,204,6,0,0,0,0,310
214,1,0,208,5,1,0,0,0,311
374,4,0,360,7,7,0,0,0,312
457,3,0,444,10,3,0,0,0,313
215,0,0,205,8,2,0,0,0,314
7,5,0,7,0,0,0,0,0,315
38,6,3,38,0,0,0,0,0,316
168,1,0,168,0,0,0,0,0,317
277,0,0,274,2,1,0,0,0,318
196,1,0,190,6,0,0,0,0,319
100,3,0,99,1,0,0,0,0,320
85,4,0,79,4,2,0,0,0,321
34,10,6,34,0,0,0,0,0,322
41,9,0,39,1,1,0,0,0,323
23,5,1,22,1,0,0,0,0,324
217,24,5,206,10,1,0,0,0,325
161,9,2,158,3,0,0,0,0,326
279,0,0,276,3,0,0,0,0,327
97,9,3,95,2,0,0,0,0,328
489,3,0,480,6,3,0,0,0,329
245,4,0,242,3,0,0,0,0,330
270,5,0,268,2,0,0,0,0,331
166,11,1,165,1,0,0,0,0,332
121,18,3,110,11,0,0,0,0,333
33,9,1,33,0,0,0,0,0,334
72,1,0,72,0,0,0,0,0,335
174,0,0,173,1,0,0,0,0,336
192,0,0,186,3,3,0,0,0,337
286,61,5,250,30,5,1,0,0,338
231,0,0,230,0,1,0,0,0,339
138,1,0,135,2,1,0,0,0,340
104,6,1,102,2,0,0,0,0,341
91,10,4,90,0,1,0,0,0,342
682,22,0,657,12,13,0,0,0,343
1379,769,69,1131,234,4,4,2,4,344
629,16,1,610,16,2,1,0,0,345
58,4,3,58,0,0,0,0,0,346
272,9,0,268,2,2,0,0,0,347
213,2,2,207,6,0,0,0,0,348
225,2,0,220,5,0,0,0,0,349
463,48,2,450,8,4,1,0,0,350
285,7,0,276,8,1,0,0,0,351
526,18,0,512,12,2,0,0,0,352
418,4,0,406,9,3,0,0,0,353
515,10,0,505,9,0,1,0,0,354
377,5,0,365,10,2,0,0,0,355
1186,37,1,1161,19,6,0,0,0,356
591,560,49,498,84,3,4,1,1,357
424,8,1,411,13,0,0,0,0,358
119,16,0,105,0,0,0,8,6,359
67,9,0,66,1,0,0,0,0,360
439,10,3,424,15,0,0,0,0,361
1043,117,24,984,58,1,0,0,0,362
690,10,0,667,21,2,0,0,0,363
84,7,1,84,0,0,0,0,0,364
491,16,0,478,11,2,0,0,0,365
63,1,0,61,0,2,0,0,0,366
46,3,1,46,0,0,0,0,0,367
320,17,0,309,9,1,1,0,0,368
51,8,6,51,0,0,0,0,0,369
85,9,2,83,2,0,0,0,0,370
99,13,0,98,1,0,0,0,0,371
213,13,1,212,1,0,0,0,0,372
156,12,0,154,2,0,0,0,0,373
204,128,4,184,17,0,2,1,0,374
246,8,0,241,3,2,0,0,0,375
225,2,0,219,6,0,0,0,0,376
256,427,30,191,62,1,2,0,0,377
146,1,0,142,2,2,0,0,0,378
212,0,1,206,5,0,1,0,0,379
229,3,0,225,4,0,0,0,0,380
66,2,0,64,1,1,0,0,0,381
158,0,0,157,1,0,0,0,0,382
301,7,0,288,6,6,0,1,0,383
88,1,0,87,1,0,0,0,0,384
148,54,2,126,18,4,0,0,0,385
398,11,0,390,4,4,0,0,0,386
89,4,0,86,3,0,0,0,0,387
